1RDTM;LPO;82721;2                                                                                                                                                                                       
1RDTM;METPESJ;82837;2                                                                                                                                                                                   
1RDTM;SOCGER;81851;2                                                                                                                                                                                    
1TDTV;CIEPOL;81851;2                                                                                                                                                                                    
1TDTV;DCIVIL1;83265;4                                                                                                                                                                                   
1TDTV;DPRCIV1;82929;2                                                                                                                                                                                   
1TDTV;EC;83377;2                                                                                                                                                                                        
1TDTV;INTDIRE;81530;4                                                                                                                                                                                   
1TDTV;LPO;83191;2                                                                                                                                                                                       
1TDTV;METPESJ;82837;2                                                                                                                                                                                   
1TDTV;SOCGER;83004;2                                                                                                                                                                                    
2ADTM;DCIVIL2;82065;2                                                                                                                                                                                   
2ADTM;DCONS;83187;2                                                                                                                                                                                     
2ADTM;DIRCONS1;80250;4                                                                                                                                                                                  
2ADTM;DIREMP1;82676;2                                                                                                                                                                                   
2ADTM;DIRPEN1;488;4                                                                                                                                                                                     
2ADTM;DIRTR1;1660;2                                                                                                                                                                                     
2ADTM;DPRCIV2;1274;2                                                                                                                                                                                    
2ADTM;SOCJUR;83299;2                                                                                                                                                                                    
2BDTM;DCIVIL2;82065;2                                                                                                                                                                                   
2BDTM;DCONS;83187;2                                                                                                                                                                                     
2BDTM;DIRCONS1;83082;4                                                                                                                                                                                  
2BDTM;DIREMP1;82734;2                                                                                                                                                                                   
2BDTM;DIRPEN1;488;4                                                                                                                                                                                     
2BDTM;DIRTR1;1660;2                                                                                                                                                                                     
2BDTM;DPRCIV2;1274;2                                                                                                                                                                                    
2BDTM;SOCJUR;83299;2                                                                                                                                                                                    
2CDTN;DCIVIL2;83427;2                                                                                                                                                                                   
2CDTN;DCONS;83187;2                                                                                                                                                                                     
2CDTN;DIRCONS1;84559;4                                                                                                                                                                                  
2CDTN;DIREMP1;82740;2                                                                                                                                                                                   
2CDTN;DIRPEN1;82757;4                                                                                                                                                                                   
2CDTN;DIRTR1;2263;2                                                                                                                                                                                     
2CDTN;DPRCIV2;81297;2                                                                                                                                                                                   
2CDTN;SOCJUR;84720;2                                                                                                                                                                                    
2DDTN;DCIVIL2;83427;2                                                                                                                                                                                   
2DDTN;DCONS;82658;2                                                                                                                                                                                     
2DDTN;DIRCONS1;84559;4                                                                                                                                                                                  
2DDTN;DIREMP1;82740;2                                                                                                                                                                                   
2DDTN;DIRPEN1;82955;4                                                                                                                                                                                   
2DDTN;DIRTR1;1660;2                                                                                                                                                                                     
2DDTN;DPRCIV2;82985;2                                                                                                                                                                                   
2DDTN;SOCJUR;81851;2                                                                                                                                                                                    
2EDTN;DCIVIL2;80122;2                                                                                                                                                                                   
2EDTN;DCONS;82658;2                                                                                                                                                                                     
2EDTN;DIRCONS1;82934;4                                                                                                                                                                                  
2EDTN;DIREMP1;82313;2                                                                                                                                                                                   
2EDTN;DIRPEN1;82698;4                                                                                                                                                                                   
2EDTN;DIRTR1;1660;2                                                                                                                                                                                     
2EDTN;DPRCIV2;82985;2                                                                                                                                                                                   
2EDTN;SOCJUR;81851;2                                                                                                                                                                                    
2FDTN;DCIVIL2;80122;2                                                                                                                                                                                   
2FDTN;DCONS;82658;2                                                                                                                                                                                     
2FDTN;DIRCONS1;82934;4                                                                                                                                                                                  
2FDTN;DIREMP1;82734;2                                                                                                                                                                                   
2FDTN;DIRPEN1;82698;4                                                                                                                                                                                   
2FDTN;DIRTR1;81932;2                                                                                                                                                                                    
2FDTN;DPRCIV2;81297;2                                                                                                                                                                                   
2FDTN;SOCJUR;81851;2                                                                                                                                                                                    
