2LDTM;DCONS;82658;2                                                                                                                                                                                     
2LDTM;DIRCONS1;81031;4                                                                                                                                                                                  
2LDTM;DIREMP1;82740;2                                                                                                                                                                                   
2LDTM;DIRPEN1;82316;4                                                                                                                                                                                   
2LDTM;DIRTR1;82704;2                                                                                                                                                                                    
2LDTM;DPRCIV2;83473;2                                                                                                                                                                                   
2LDTM;SOCJUR;83299;2                                                                                                                                                                                    
2MDTN;DCIVIL2;83265;2                                                                                                                                                                                   
2MDTN;DCONS;82658;2                                                                                                                                                                                     
2MDTN;DIRCONS1;81031;4                                                                                                                                                                                  
2MDTN;DIREMP1;82309;2                                                                                                                                                                                   
2MDTN;DIRPEN1;82955;4                                                                                                                                                                                   
2MDTN;DIRTR1;2263;2                                                                                                                                                                                     
2MDTN;DPRCIV2;82299;2                                                                                                                                                                                   
2MDTN;SOCJUR;81854;2                                                                                                                                                                                    
2NDTN;DCIVIL2;83265;2                                                                                                                                                                                   
2NDTN;DCONS;82658;2                                                                                                                                                                                     
2NDTN;DIRCONS1;81031;4                                                                                                                                                                                  
2NDTN;DIREMP1;1405;2                                                                                                                                                                                    
2NDTN;DIRPEN1;82955;4                                                                                                                                                                                   
2NDTN;DIRTR1;2263;2                                                                                                                                                                                     
2NDTN;DPRCIV2;83473;2                                                                                                                                                                                   
2NDTN;SOCJUR;81854;2                                                                                                                                                                                    
3LDTM;DCIVIL3;82740;4                                                                                                                                                                                   
3LDTM;DIRADM;81031;2                                                                                                                                                                                    
3LDTM;DIRCONS2;82852;2                                                                                                                                                                                  
3LDTM;DIREC;83292;2                                                                                                                                                                                     
3LDTM;DIRPEN2;82316;2                                                                                                                                                                                   
3LDTM;DIRTR2;82786;2                                                                                                                                                                                    
3LDTM;DPRCIV3;82300;4                                                                                                                                                                                   
3LDTM;FILGJUR;82962;2                                                                                                                                                                                   
3MDTN;DCIVIL3;82715;4                                                                                                                                                                                   
3MDTN;DIRADM;81350;2                                                                                                                                                                                    
3MDTN;DIRCONS2;82934;2                                                                                                                                                                                  
3MDTN;DIREC;82923;2                                                                                                                                                                                     
3MDTN;DIRPEN2;82955;2                                                                                                                                                                                   
3MDTN;DIRTR2;2263;2                                                                                                                                                                                     
3MDTN;DPRCIV3;82299;4                                                                                                                                                                                   
3MDTN;FILGJUR;82962;2                                                                                                                                                                                   
3NDTN;DCIVIL3;82715;4                                                                                                                                                                                   
3NDTN;DIRADM;81350;2                                                                                                                                                                                    
3NDTN;DIRCONS2;83298;2                                                                                                                                                                                  
3NDTN;DIREC;82923;2                                                                                                                                                                                     
3NDTN;DIRPEN2;82955;2                                                                                                                                                                                   
3NDTN;DIRTR2;2263;2                                                                                                                                                                                     
3NDTN;DPRCIV3;82299;4                                                                                                                                                                                   
3NDTN;FILGJUR;84720;2                                                                                                                                                                                   
4LDTM;DCIVIL4;82715;3                                                                                                                                                                                   
4LDTM;DIREMP2;82740;4                                                                                                                                                                                   
4LDTM;DIRPEN3;82073;2                                                                                                                                                                                   
4LDTM;DIRTRIB;82932;4                                                                                                                                                                                   
4LDTM;DPRCIV4;82929;2                                                                                                                                                                                   
4LDTM;DPROCP1;82316;3                                                                                                                                                                                   
4LDTM;MLEPSJ;80124;2                                                                                                                                                                                    
4MDTN;DCIVIL4;83473;3                                                                                                                                                                                   
4MDTN;DIREMP2;82715;4                                                                                                                                                                                   
4MDTN;DIRPEN3;82316;2                                                                                                                                                                                   
4MDTN;DIRTRIB;83292;4                                                                                                                                                                                   
4MDTN;DPRCIV4;82299;2                                                                                                                                                                                   
